id,release_year,age_certification,runtime,genres,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
ts22164,1969,TV-14,30,"['comedy', 'european']",4,8.8,72895,12.919,8.3
ts45948,1972,TV-MA,43,['comedy'],1,8.1,2144,1.49,7
ts20681,1989,TV-PG,24,['comedy'],9,8.9,302700,128.743,8.3
ts22082,1982,TV-PG,51,"['action', 'scifi', 'crime', 'drama']",4,6.9,33760,44.378,7.5
ts21715,1984,TV-Y,10,"['family', 'comedy', 'music', 'action', 'animation', 'fantasy', 'drama']",24,6.5,4948,49.384,6.6
ts20678,1989,TV-G,23,"['comedy', 'romance', 'family']",5,7.1,34854,16.945,8
ts25028,1983,TV-G,26,['family'],39,6.7,3126,1440.855,6.7
ts23753,1989,TV-PG,24,"['comedy', 'family']",4,6.4,2866,7.506,6.3
ts2760,1987,TV-Y,10,"['comedy', 'animation', 'family', 'crime', 'european']",13,6.1,1759,25.697,7.3
ts987,1981,TV-Y,15,"['comedy', 'family', 'scifi', 'animation', 'european']",10,7.4,3514,7.748,7.4
ts20981,2000,TV-PG,48,['reality'],42,7.4,24368,73.107,7.3
ts22176,1997,TV-PG,44,"['scifi', 'drama', 'action']",10,8.4,90196,167.57,8.2
ts21223,1997,TV-Y7,22,"['scifi', 'action', 'comedy', 'fantasy', 'animation', 'family']",24,7.6,172,138.135,7.6
ts20339,1999,TV-14,23,"['action', 'comedy', 'animation', 'drama', 'fantasy']",21,8.8,112586,105.955,8.8
ts34435,1998,TV-14,25,"['western', 'action', 'scifi', 'thriller', 'animation', 'comedy', 'drama']",1,8.9,112887,34.769,8.5
ts20927,1993,TV-PG,47,"['scifi', 'action', 'drama']",7,8.1,61145,61.159,7.9
ts5145,1998,TV-14,40,"['reality', 'comedy', 'drama', 'scifi']",37,7.8,3274,15.699,7.6
ts21567,2000,TV-14,46,"['comedy', 'drama']",8,8.2,119054,51.125,7.8
ts20983,1995,TV-14,24,"['scifi', 'action', 'drama', 'thriller', 'fantasy', 'animation']",1,8.5,64727,51.993,8.6
ts22193,1994,TV-Y,26,"['scifi', 'comedy', 'family', 'fantasy', 'animation']",4,7.8,9708,30.176,7.9
ts20960,1993,TV-Y7,22,"['scifi', 'action', 'fantasy', 'family']",29,6.5,21949,21.083,6.7
ts11397,1993,TV-Y7,22,"['action', 'animation', 'scifi', 'western', 'fantasy', 'comedy', 'family']",4,6.2,3808,23.374,6.2
ts22489,1995,TV-PG,22,"['scifi', 'fantasy', 'horror', 'thriller', 'family', 'music']",4,7.6,13361,88.924,8
ts25252,1998,TV-Y,22,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']",7,7.2,20888,75.438,7.3
ts21034,2000,TV-14,25,"['action', 'comedy', 'scifi', 'animation', 'drama', 'fantasy', 'romance']",9,7.9,15823,149.742,8.6
ts8570,1992,TV-G,28,['family'],14,3.8,9955,46.955,5
ts20939,1996,TV-PG,21,"['drama', 'comedy', 'family']",6,5.7,3713,7.483,7.3
ts21693,1994,TV-PG,22,"['comedy', 'drama', 'family']",6,6.2,12535,12.029,7.6
ts22286,1998,TV-Y7,25,"['scifi', 'comedy', 'drama', 'family', 'fantasy', 'romance', 'animation', 'action']",4,8,4936,53.714,8.7
ts21581,2000,TV-PG,21,"['comedy', 'drama']",8,7.2,4482,17.929,7.6
ts20918,1999,TV-PG,19,['comedy'],5,6.8,2346,9.733,8
ts22080,1999,TV-Y7,9,"['comedy', 'family', 'action', 'animation', 'european']",7,7.4,4185,26.074,7.5
ts22039,1998,TV-MA,25,['comedy'],4,7.4,1703,11.362,7.6
ts21684,1994,TV-MA,47,"['drama', 'romance', 'comedy']",7,7.8,3106,16.211,7.3
ts28516,2000,TV-MA,40,"['crime', 'drama']",1,9,2326,6.971,8.8
ts4,2008,TV-MA,48,"['drama', 'thriller', 'crime']",5,9.5,1727694,337.419,8.8
ts9,2010,TV-MA,46,"['action', 'drama', 'scifi', 'thriller', 'horror']",11,8.2,945125,773.19,8.1
ts26091,2004,TV-MA,49,"['crime', 'documentation', 'drama']",2,7.8,21531,14.185,7.7
ts11,2010,TV-14,58,"['drama', 'romance', 'european']",6,8.7,197744,57.029,8.1
ts21469,2005,TV-14,49,"['drama', 'romance']",18,7.6,293618,1215.393,8.3
ts288536,2010,TV-PG,57,"['reality', 'european']",12,8.6,9564,10.825,7.7
ts6495,2005,TV-14,44,"['thriller', 'crime', 'drama']",15,8.1,189191,401.416,8.3
ts22337,2003,TV-14,44,"['action', 'drama', 'crime', 'thriller', 'comedy']",19,7.8,141049,254.207,7.6
ts8308,2009,TV-PG,23,['comedy'],6,8.5,252564,48.311,8
ts22011,2007,TV-PG,44,"['drama', 'family']",15,8.4,15743,68.46,8.3
ts21465,2005,TV-14,45,"['scifi', 'thriller', 'drama', 'fantasy', 'horror']",15,8.5,428639,406.666,8.3
ts17156,2003,TV-MA,28,['comedy'],5,8.7,297552,54.388,8.1
ts20573,2006,TV-14,25,"['comedy', 'european']",5,8.5,147409,27.917,8.1
ts12724,2006,TV-14,25,"['comedy', 'sport']",7,8.3,121514,34.689,7.4
ts3371,2005,TV-Y7,24,"['scifi', 'family', 'fantasy', 'animation', 'action']",3,9.3,297336,61.284,8.7
ts20604,2006,TV-14,43,"['drama', 'sport']",5,8.7,64449,32.434,8
ts21511,2010,TV-Y7,22,"['scifi', 'animation', 'drama', 'fantasy', 'music', 'comedy', 'family']",9,7.6,20708,49.715,8.1
ts19036,2001,TV-Y7,24,"['scifi', 'family', 'fantasy', 'animation', 'comedy']",10,7.2,38046,151.92,7.7
ts32186,2003,TV-Y7,21,"['action', 'drama', 'thriller', 'animation', 'comedy', 'fantasy', 'family', 'scifi']",3,6.1,4577,104.486,7.5
ts11313,2006,TV-14,24,"['scifi', 'animation', 'crime', 'drama', 'fantasy', 'thriller']",1,9,302147,104.037,8.7
ts21247,2009,TV-14,42,"['scifi', 'drama', 'thriller', 'fantasy', 'horror', 'romance']",8,7.7,310776,463.661,8.3
ts20305,2002,TV-PG,23,"['scifi', 'comedy', 'animation', 'action', 'fantasy', 'thriller']",6,8.4,93980,362.73,8.4
ts2230,2003,TV-14,44,['reality'],24,5.6,17843,12.812,5.3
ts17942,2003,TV-14,21,"['comedy', 'music']",3,8.8,62140,13.557,8.1
ts22267,2001,TV-MA,25,"['comedy', 'crime']",12,8.6,41791,26.26,8
ts6644,2010,TV-MA,58,"['drama', 'european']",4,8.5,23523,21.761,8.1
ts22018,2007,TV-G,26,"['comedy', 'family', 'romance']",6,6.7,38281,96.149,8
ts30311,2010,TV-G,25,"['comedy', 'drama', 'family', 'music', 'romance', 'sport']",4,6.9,24224,76.049,8.2
ts21197,2008,TV-PG,44,"['action', 'scifi', 'drama', 'fantasy', 'european']",5,7.9,80138,123.15,7.9
ts35155,2007,TV-14,24,"['scifi', 'action', 'comedy', 'drama', 'animation']",1,8.3,17024,22.238,8.2
ts12787,2006,TV-14,24,"['scifi', 'animation', 'action', 'drama', 'thriller', 'war']",3,8.7,62367,36.627,8.5
ts21544,2010,TV-Y7,22,"['action', 'comedy', 'drama', 'family', 'scifi', 'animation']",4,7.9,6500,31.514,8
ts31263,2001,TV-14,52,['reality'],5,7.6,1104,4.376,7.8
